|Run	|Epoch	|Trial	$TrialName	#Err	#SSE	#AvgSSE	#CosDiff
0	9	16	evt_23	1	2.037	0.08148	0.686
0	9	17	evt_13	1	0.3281	0.01312	0.8817
0	9	18	evt_21	1	2.046	0.08186	0.7303
0	9	19	evt_11	1	0.9319	0.03728	0.8259
0	9	20	evt_9	1	1.321	0.05285	0.798
0	9	21	evt_6	1	1.371	0.05483	0.7852
0	9	22	evt_7	1	1.664	0.06657	0.7366
0	9	23	evt_20	1	0.8528	0.03411	0.795
0	10	0	evt_21	1	1.994	0.07977	0.7372
0	10	1	evt_13	1	0.5774	0.0231	0.8617
0	10	2	evt_1	1	0.3497	0.01399	0.9098
0	10	3	evt_7	1	1.476	0.05905	0.7729
0	10	4	evt_18	1	0.865	0.0346	0.8212
0	10	5	evt_8	1	0.4244	0.01697	0.9003
0	10	6	evt_22	1	1.432	0.05728	0.7597
0	10	7	evt_4	1	1.369	0.05478	0.769
0	10	8	evt_14	1	0.7858	0.03143	0.8856
0	10	9	evt_6	1	1.211	0.04843	0.8052
0	10	10	evt_5	1	0.2712	0.01085	0.9129
0	10	11	evt_10	1	2.394	0.09575	0.6426
0	10	12	evt_15	1	0.3542	0.01417	0.932
0	10	13	evt_12	0	0	0	0.966
0	10	14	evt_19	1	3.191	0.1276	0.4285
0	10	15	evt_23	1	0.3276	0.01311	0.8784
0	10	16	evt_9	1	1.257	0.05027	0.8101
0	10	17	evt_2	1	0.3494	0.01398	0.8884
0	10	18	evt_16	1	0.7751	0.031	0.8482
0	10	19	evt_11	1	1.199	0.04795	0.7643
0	10	20	evt_0	1	1.633	0.0653	0.7249
0	10	21	evt_3	1	0.9179	0.03672	0.8212
0	10	22	evt_17	1	0.345	0.0138	0.9257
0	10	23	evt_20	1	1.138	0.04552	0.792
0	11	0	evt_21	1	0.6499	0.026	0.8969
0	11	1	evt_11	1	0.5663	0.02265	0.8673
0	11	2	evt_6	1	1.136	0.04545	0.8154
0	11	3	evt_12	0	0	0	0.9834
0	11	4	evt_5	1	0.8049	0.03219	0.8679
0	11	5	evt_13	1	0.9677	0.03871	0.8247
